SampleName,028H05_P_BN_P5,BD7_11,C47,MBMPE71,MD2896_B258,OM190,Phycisphaerae,Phycisphaerae_062DZ93_hypersaline,Phycisphaerae_Amsterdam_1B_07,Phycisphaerae_C86,Phycisphaerae_CCM11a,Phycisphaerae_Cpla-3_termite,Phycisphaerae_ML_A_10,Phycisphaerae_MSB_3A7_sediment,Phycisphaerae_MSBL9,Phycisphaerae_Phycisphaerales,Phycisphaerae_Phycisphaerales_08D2Z94_hypersaline,Phycisphaerae_Phycisphaerales_AKAU3564_sediment,Phycisphaerales_ODP1230B30_02_sediment,Phycisphaerales_Phycisphaeraceae_CL500_3,Phycisphaerales_Phycisphaeraceae_FS140_16B_02_marine,Phycisphaerales_Phycisphaeraceae_I_8,Phycisphaerales_Phycisphaeraceae_JL_ETNP_F27,Phycisphaerales_Phycisphaeraceae_Phycisphaera,Phycisphaerales_Phycisphaeraceae_SM1A02,Phycisphaerales_Phycisphaeraceae_Urania_1B_19_marine_sediment,Phycisphaerales_Phycisphaeraceae_Z195MB87,Phycisphaerales_SBYZ_1154,Phycisphaerales_Sva0503,Phycisphaerae_Pla1 lineage,Planctomycetes_Phycisphaerae_S_70,Phycisphaerae_SHA_43,Phycisphaerae_WD2101_soil,Phycisphaerae_mle1_8,Pla3lineage,Pla4lineage,Brocadiaceae_W4,Planctomycetaceae,Planctomycetaceae_Blastopirellula,Planctomycetaceae_Bythopirellula,Planctomycetaceae_Candidatus_Anammoximicrobium,Planctomycetaceae_Gemmata,Planctomycetaceae_Isosphaera,Planctomycetaceae_Pir4_lineage,Planctomycetaceae_Pirellula,Planctomycetaceae_Planctomyces,Planctomycetaceae_Rhodopirellula,Planctomycetaceae_Schlesneria,Planctomycetaceae_Singulisphaera,Planctomycetaceae_Zavarzinella,Planctomycetaceae_uncultured,Planctomycetes_SGST604,Planctomycetes_SPG12_401_411_B72,Planctomycetes_vadinHA49
OSD100_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205,0,0,0,0.002,0,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0.0061,0,0,0,0,0,0,0
OSD101,0,0.0055,0,0,0,0.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082,0.0027,0,0.0027,0.0192,0.0165,0.0329,0,0,0,0,0,0,0,0,0,0,0,0.0027,0.0165,0.0027,0,0,0,0.0027,0,0.0055,0.0329,0,0,0,0.0082,0,0,0
OSD102,0.0009,0.0096,0,0,0,0.014,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0.0026,0.0009,0,0,0.0209,0.0009,0.0166,0,0,0,0,0,0,0.0035,0,0.0044,0.0026,0,0,0.0148,0.0026,0,0,0,0.0026,0.0044,0.0087,0.0218,0,0,0,0.0096,0.0044,0,0.0052
OSD103,0,0.0095,0,0,0,0.0309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0,0,0,0.0286,0.0024,0.0405,0,0,0,0,0,0,0,0,0.0071,0,0,0,0.0452,0,0,0,0,0.0024,0.0071,0.0167,0.0571,0,0,0,0.0071,0.019,0,0.0095
OSD105,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986,0.0624,0,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3154,0,0,0,0,0,0,0.23,0.1281,0,0,0,0,0,0,0
OSD106_0,0,0.0104,0,0,0,0.0104,0,0,0,0,0,0.0104,0,0,0,0,0,0,0,0.0174,0,0,0,0.0035,0.0139,0,0,0,0,0,0,0,0.0209,0,0,0.0139,0,0,0.0209,0,0,0.0139,0,0,0.007,0.0139,0.0139,0,0,0,0.0174,0,0,0.0244
OSD106_15,0,0,0,0,0,0.0956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1127,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0.223,0,0,0,0,0,0,0,0.1666,0,0,0,0.0319,0,0,0
OSD107,0.0282,0.1199,0,0,0,0.5324,0,0.0035,0.0035,0,0.0212,0,0,0.0071,0.0176,0,0,0,0,0.0106,0,0,0,0.0212,0.0881,0.0811,0,0,0,0.0071,0,0.0071,0,0.0035,0.0176,0.0529,0,0,0.0705,0.0035,0,0,0,0.0106,0.0141,0.1622,0.0917,0,0,0,0.0282,0,0.0035,0.0176
OSD108,0.0287,0.0994,0,0,0,1.0752,0,0,0,0,0.0044,0,0,0.0022,0.0066,0,0,0,0,0.0088,0,0,0,0.0265,0.0397,0.1126,0.0022,0,0,0,0.0022,0.0022,0,0,0.0243,0.0464,0,0,0.0596,0.0066,0,0.0022,0,0.011,0.0088,0.1634,0.0596,0,0,0,0.0839,0,0,0.0066
OSD109,0.0102,0.1117,0,0,0,0.9509,0,0.0068,0.0034,0,0.0068,0,0,0.0102,0.0271,0,0,0,0,0.0135,0,0,0,0.0948,0.1151,0.0575,0,0,0,0,0,0,0.0034,0,0.0203,0.1117,0,0,0.264,0.0169,0,0.0034,0,0.0305,0.0812,0.3858,0.4129,0,0,0,0.0643,0.0034,0,0.308
